stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-2351,Fancy Colour,INTENSE PINK,SQUARE EMERALD,1.0,1.00–1.99ct,VS1,,EX,VG,5.63 - 5.55 * 3.78,68.1,71.0,1.01,IGI,799626159,https://api.igi.org/viewpdf.php?r=799626159,https://workshop.360view.link/360viewer/360view.html?d=2905261-PDKP-2351
PDKL-32,Fancy Colour,VIVID PINK,SQUARE RADIANT,3.35,3.00–4.99ct,VS1,,EX,EX,8.22 - 8.18 * 5.34,65.3,63.0,1.0,IGI,702506253,https://api.igi.org/viewpdf.php?r=702506253,https://workshop.360view.link/360viewer/360view.html?d=1606250-702506253
PDKL-33,Fancy Colour,VIVID PINK,SQUARE RADIANT,3.26,3.00–4.99ct,VVS2,,EX,EX,8.15 - 8.13 * 5.37,66.1,62.0,1.0,IGI,713525542,https://api.igi.org/viewpdf.php?r=713525542,https://workshop.360view.link/360viewer/360view.html?d=2606258-713525542
PDJP-205,Fancy Colour,VIVID PINK,HEART,0.76,Under 1ct,VS1,,EX,EX,5.39 - 6.23 * 3.14,50.4,58.0,0.87,IGI,826605124,https://api.igi.org/viewpdf.php?r=826605124,https://workshop.360view.link/360viewer/360view.html?d=2208260-JP-205-
PDJP-206,Fancy Colour,VIVID PINK,HEART,0.8,Under 1ct,VS1,,EX,EX,5.55 - 6.42 * 3.02,47.0,66.0,0.86,IGI,826605125,https://api.igi.org/viewpdf.php?r=826605125,https://workshop.360view.link/360viewer/360view.html?d=2208260-JP-206-
PDJP-209,Fancy Colour,VIVID PINK,HEART,0.71,Under 1ct,VS1,,EX,EX,4.99 - 5.97 * 3.17,53.1,63.0,0.84,IGI,826605126,https://api.igi.org/viewpdf.php?r=826605126,https://workshop.360view.link/360viewer/360view.html?d=2208268-JP-209
PDJP-208,Fancy Colour,VIVID PINK,HEART,0.6,Under 1ct,VS1,,EX,EX,5.13 - 5.81 * 2.83,48.7,67.0,0.88,IGI,826605127,https://api.igi.org/viewpdf.php?r=826605127,https://workshop.360view.link/360viewer/360view.html?d=2208267-JP-208-
PDJP-207,Fancy Colour,VIVID PINK,HEART,0.7,Under 1ct,VS1,,EX,EX,5.07 - 5.81 * 3.11,53.5,66.0,0.87,IGI,826605128,https://api.igi.org/viewpdf.php?r=826605128,https://workshop.360view.link/360viewer/360view.html?d=2208267-JP-207
PDJP-210,Fancy Colour,VIVID PINK,HEART,3.01,3.00–4.99ct,VS1,,EX,EX,8.25 - 9.42 * 5.07,53.8,68.0,0.88,IGI,803614652,https://api.igi.org/viewpdf.php?r=803614652,https://workshop.360view.link/360viewer/360view.html?d=2208263-803614652-CHP
PDJP-211,Fancy Colour,VIVID PINK,HEART,3.0,3.00–4.99ct,VS1,,EX,EX,8.31 - 9.45 * 5.05,53.4,63.0,0.88,IGI,814632433,https://api.igi.org/viewpdf.php?r=814632433,https://workshop.360view.link/360viewer/360view.html?d=2208260-814632433-CHP
PDKP-2463,Fancy Colour,VIVID PINK,HEART,2.03,2.00–2.99ct,VVS1,,EX,EX,7.05 - 8.05 * 4.52,56.1,62.0,0.88,IGI,821667902,https://api.igi.org/viewpdf.php?r=821667902,https://workshop.360view.link/360viewer/360view.html?d=2608265-PDKP-2462
PDKP-2464,Fancy Colour,VIVID PINK,HEART,2.04,2.00–2.99ct,VVS1,,EX,EX,7.09 - 8.11 * 4.49,55.4,65.0,0.87,IGI,821667864,https://api.igi.org/viewpdf.php?r=821667864,https://workshop.360view.link/360viewer/360view.html?d=2608260-PDKP-2463
PDKP-2465,Fancy Colour,VIVID PINK,HEART,2.05,2.00–2.99ct,VVS1,,EX,EX,7.07 - 8.09 * 4.47,55.3,66.0,0.87,IGI,822608774,https://api.igi.org/viewpdf.php?r=822608774,https://workshop.360view.link/360viewer/360view.html?d=2608264-PDKP-2464
PDKP-2466,Fancy Colour,VIVID PINK,HEART,2.06,2.00–2.99ct,VVS1,,EX,EX,7.07 - 8.11 * 4.47,55.1,69.0,0.87,IGI,822608790,https://api.igi.org/viewpdf.php?r=822608790,https://workshop.360view.link/360viewer/360view.html?d=2608264-PDKP-2466
PDKP-1481,Fancy Colour,INTENSE YELLOW,CUSHION,11.08,10ct+,VS1,,EX,EX,12.30 - 12.30 * 8.09,65.8,66.0,1.0,IGI,717521056,https://api.igi.org/viewpdf.php?r=717521056,https://workshop.360view.link/360viewer/360view.html?d=1408252-D-1-PR
PDKP-2056,Fancy Colour,VIVID YELLOW,CUSHION,8.09,5.00–9.99ct,VS1,,EX,EX,11.31 - 10.72 * 7.05,65.8,58.0,1.06,IGI,760505783,https://api.igi.org/viewpdf.php?r=760505783,https://workshop.360view.link/360viewer/360view.html?d=0502267-1004-5-DH
PDKP-1975,Fancy Colour,VIVID YELLOW,CUSHION,7.01,5.00–9.99ct,VS1,,EX,EX,10.33 - 10.27 * 6.92,67.4,61.0,1.01,IGI,732559479,https://api.igi.org/viewpdf.php?r=732559479,https://workshop.360view.link/360viewer/360view.html?d=1609258-732559479
PDKP-1976,Fancy Colour,VIVID YELLOW,CUSHION,6.99,5.00–9.99ct,VS1,,EX,EX,10.37 - 10.27 * 6.59,64.2,73.0,1.01,IGI,732559475,https://api.igi.org/viewpdf.php?r=732559475,https://workshop.360view.link/360viewer/360view.html?d=1609254-732559475
PDKP-1977,Fancy Colour,VIVID YELLOW,CUSHION,6.07,5.00–9.99ct,VS1,,EX,EX,9.84 - 9.61 * 6.50,67.6,64.0,1.02,IGI,734521037,https://api.igi.org/viewpdf.php?r=734521037,https://workshop.360view.link/360viewer/360view.html?d=2609253-734521037
PDKP-2057,Fancy Colour,VIVID YELLOW,CUSHION,6.07,5.00–9.99ct,VS1,,EX,EX,10.14 - 9.88 * 6.45,65.3,61.0,1.03,IGI,760505578,https://api.igi.org/viewpdf.php?r=760505578,https://workshop.360view.link/360viewer/360view.html?d=0302260-1004-32-DY
PDKP-1299,Fancy Colour,INTENSE YELLOW,CUSHION,6.02,5.00–9.99ct,VS2,,EX,EX,9.89 - 9.58 * 6.46,67.4,69.0,1.03,IGI,702570767,https://api.igi.org/viewpdf.php?r=702570767,https://workshop.360view.link/360viewer/360view.html?d=2005256-702570767
PDKP-1978,Fancy Colour,VIVID YELLOW,CUSHION,5.73,5.00–9.99ct,VVS2,,EX,EX,9.64 - 9.52 * 6.34,66.6,64.0,1.01,IGI,723558105,https://api.igi.org/viewpdf.php?r=723558105,https://workshop.360view.link/360viewer/360view.html?d=0408251-723558105
PDKP-2059,Fancy Colour,VIVID YELLOW,CUSHION,5.09,5.00–9.99ct,VS1,,EX,EX,9.51 - 9.26 * 6.08,65.7,61.0,1.03,IGI,760505782,https://api.igi.org/viewpdf.php?r=760505782,https://workshop.360view.link/360viewer/360view.html?d=0502260-1004-6-DH
PDKP-1156A,Fancy Colour,VIVID YELLOW,CUSHION,4.99,3.00–4.99ct,VS1,,EX,EX,10.37 - 8.48 * 5.93,69.9,57.0,1.22,IGI,687572478,https://api.igi.org/viewpdf.php?r=687572478,https://workshop.360view.link/360viewer/360view.html?d=1703256-509-25-PR
PDKP-1539,Fancy Colour,VIVID YELLOW,CUSHION,4.88,3.00–4.99ct,VS1,,EX,EX,11.26 - 8.69 * 5.55,63.9,63.0,1.3,IGI,739586531,https://api.igi.org/viewpdf.php?r=739586531,https://workshop.360view.link/360viewer/360view.html?d=1610253-PDKP-1539
PDKP-1540,Fancy Colour,VIVID YELLOW,CUSHION,4.82,3.00–4.99ct,VS1,,EX,EX,11.75 - 8.35 * 5.61,67.2,64.0,1.41,IGI,739542117,https://api.igi.org/viewpdf.php?r=739542117,https://workshop.360view.link/360viewer/360view.html?d=1410250-pdkp-1538-pr
PDKP-1306,Fancy Colour,VIVID YELLOW,CUSHION,4.61,3.00–4.99ct,VS2,,EX,EX,10.31 - 8.24 * 5.70,69.2,58.0,1.25,IGI,700596957,https://api.igi.org/viewpdf.php?r=700596957,https://workshop.360view.link/360viewer/360view.html?d=1205250-700596957
