stock_no,category,colour,shape,carat,carat_band,clarity,cut,polish,symmetry,measurements,depth_pct,table_pct,ratio,lab,cert_no,verify_url,video_url
PDKP-1360,Fancy Colour,VIVID PINK,PEAR,4.58,3.00–4.99ct,VS1,,VG,VG,14.69 - 8.90 * 5.36,60.2,62.0,1.65,IGI,723540593,https://api.igi.org/viewpdf.php?r=723540593,https://workshop.360view.link/360viewer/360view.html?d=0409251-PDKP-1360-
PDKP-3067,Fancy Colour,VIVID PINK,PEAR,4.55,3.00–4.99ct,VS1,,EX,EX,15.23 - 9.01 * 5.14,57.0,66.0,1.69,IGI,818608783,https://api.igi.org/viewpdf.php?r=818608783,
PDKP-3068,Fancy Colour,VIVID PINK,PEAR,4.51,3.00–4.99ct,VS1,,EX,EX,14.76 - 9.16 * 5.03,54.9,67.0,1.61,IGI,817696530,https://api.igi.org/viewpdf.php?r=817696530,
PDKL-30,Fancy Colour,VIVID PINK,PEAR,4.47,3.00–4.99ct,VVS2,,EX,EX,15.02 - 8.80 * 5.17,58.8,68.0,1.71,IGI,700596958,https://api.igi.org/viewpdf.php?r=700596958,https://workshop.360view.link/360viewer/360view.html?d=1205254-pv-94-pr
PDKP-1260,Fancy Colour,VIVID PINK,PEAR,4.43,3.00–4.99ct,VVS2,,EX,EX,14.94 - 8.51 * 5.28,62.0,61.0,1.76,IGI,712535006,https://api.igi.org/viewpdf.php?r=712535006,https://workshop.360view.link/360viewer/360view.html?d=2706253-PDKP-1260
PDKP-3021,Fancy Colour,VIVID PINK,PEAR,4.43,3.00–4.99ct,VVS2,,EX,EX,14.41 - 8.97 * 5.19,57.9,65.0,1.61,IGI,815647657,https://api.igi.org/viewpdf.php?r=815647657,https://workshop.360view.link/360viewer/360view.html?d=0907264-PDKP-3021
PDKP-1288,Fancy Colour,VIVID PINK,PEAR,4.35,3.00–4.99ct,VVS2,,EX,VG,14.68 - 8.57 * 5.25,61.3,61.0,1.71,IGI,713536857,https://api.igi.org/viewpdf.php?r=713536857,https://workshop.360view.link/360viewer/360view.html?d=0107254-pdkp-1288
PDKP-3022,Fancy Colour,VIVID PINK,PEAR,4.33,3.00–4.99ct,VS1,,EX,EX,14.25 - 8.87 * 5.08,57.3,67.0,1.61,IGI,815647663,https://api.igi.org/viewpdf.php?r=815647663,https://workshop.360view.link/360viewer/360view.html?d=0907266-PDKP-3022
PDKP-1294,Fancy Colour,VIVID PINK,PEAR,4.32,3.00–4.99ct,VS1,,EX,EX,15.34 - 8.63 * 5.12,59.3,64.0,1.78,IGI,713536881,https://api.igi.org/viewpdf.php?r=713536881,https://workshop.360view.link/360viewer/360view.html?d=0107257-pdkp-1294
PDKP-1331,Fancy Colour,VIVID PINK,PEAR,4.32,3.00–4.99ct,VS1,,EX,EX,14.86 - 8.70 * 5.15,59.2,67.0,1.71,IGI,713537368,https://api.igi.org/viewpdf.php?r=713537368,https://workshop.360view.link/360viewer/360view.html?d=1907254-PDKP-1331
